编号,名称,规格型号,单位,数量,面价,折扣,单价,金额,品牌,备注
管理费及利润=(元器件小计+辅材费)*7.5%,,,套,1,,,294,294,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
税金=(元器件小计+辅材费)*2.5%,,,套,1,,,98,98,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
壳体（宽*高*深）：XL 600*1600*400 IP65,,,台,1,,,2545,2545,上海天灵,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
编号：,1AL-SD4,,,,,,,,室外工程,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
序号,产品名称,规格型号,单位,数量,面价,折扣,单价,金额,品牌,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
合计,,,台,1,,,10223,10223,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
小计A：A=B+C+D+E+F+G,,,台,1,,,,10223,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
1,塑壳断路器,NSX100N TMD 25 3P3D F MX+OF,只,1,1512.32,0.54,817,817,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
2,多功能表,PMAC770E,只,1,803,1,803,803,派诺,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
3,电流互感器,BH-0.66 25/5A,只,3,39,0.6,23,69,浙江鸿坤,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
4,火灾监控器,FS8201-100,只,1,150,1,150,150,赋安,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
5,微型断路器,iC65N-S D10A/1P,只,9,61.74,0.45,28,252,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
6,微型断路器,iC65N-S C10A/1P,只,2,43.89,0.45,20,40,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
7,微型断路器,iC65N-S C16A/1P,只,9,43.89,0.45,20,180,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
8,微型断路器,iC65N-S 2P C16A+ELE 30mA A,只,1,283.11,0.45,127,127,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
9,后备,LMSCB-80KA/4P，T2,只,1,86,1,86,86,雷曼,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
10,浪涌保护器,"LMRD-B160/4P,T2,in60KA（8/20us）通讯接口",只,1,498,1,498,498,雷曼,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
11,变压器,220/24V 300VA,只,9,134,1,134,1206,国产,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
元件小计：,,,,,,,,4228,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
辅材费=（元件小计）*8%,,,套,1,,,338,338,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
人工费=(元器件小计+辅材费)*8%,,,套,1,,,365,365,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
管理费及利润=(元器件小计+辅材费)*7.5%,,,套,1,,,342,342,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
税金=(元器件小计+辅材费)*2.5%,,,套,1,,,114,114,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
壳体（宽*高*深）：XL 800*2200*600 IP65,,,台,1,,,4836,4836,上海天灵,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
编号：,1AL-SD5,,,,,,,,室外工程,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
序号,产品名称,规格型号,单位,数量,面价,折扣,单价,金额,品牌,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
合计,,,台,1,,,7167,7167,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
小计A：A=B+C+D+E+F+G,,,台,1,,,,7167,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
1,塑壳断路器,NSX100N TMD 25 3P3D F MX+OF,只,1,1512.32,0.54,817,817,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
2,多功能表,PMAC770E,只,1,803,1,803,803,派诺,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
3,电流互感器,BH-0.66 25/5A,只,3,39,0.6,23,69,浙江鸿坤,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
4,火灾监控器,FS8201-100,只,1,150,1,150,150,赋安,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
5,微型断路器,iC65N-S D10A/1P,只,5,61.74,0.45,28,140,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
6,微型断路器,iC65N-S C10A/1P,只,2,43.89,0.45,20,40,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
7,微型断路器,iC65N-S C16A/1P,只,5,43.89,0.45,20,100,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
8,微型断路器,iC65N-S 2P C10A+ELE 30mA A,只,1,283.11,0.45,127,127,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
9,微型断路器,iC65N-S 2P C16A+ELE 30mA A,只,1,283.11,0.45,127,127,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
10,后备,LMSCB-80KA/4P，T2,只,1,86,1,86,86,雷曼,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
11,浪涌保护器,"LMRD-B160/4P,T2,in60KA（8/20us）通讯接口",只,1,498,1,498,498,雷曼,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
12,变压器,220/24V 300VA,只,5,134,1,134,670,国产,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
元件小计：,,,,,,,,3627,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
辅材费=（元件小计）*8%,,,套,1,,,290,290,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
人工费=(元器件小计+辅材费)*8%,,,套,1,,,313,313,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
管理费及利润=(元器件小计+辅材费)*7.5%,,,套,1,,,294,294,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
税金=(元器件小计+辅材费)*2.5%,,,套,1,,,98,98,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
壳体（宽*高*深）：XL 600*1600*400 IP65,,,台,1,,,2545,2545,上海天灵,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
编号：,1AP-SD1,,,,,,,,室外工程,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
序号,产品名称,规格型号,单位,数量,面价,折扣,单价,金额,品牌,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
合计,,,台,1,,,16245,16245,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
小计A：A=B+C+D+E+F+G,,,台,1,,,,16245,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
